Name	Set	ImageFile	Type	Series	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Crimson Iron Knight Vita SP	All	NAW12-051SP_WT	CH	Nanoha	R	SP	NA/W12-051	1	0	4500	1	0	Magic, Doll		[A] When this card attacks, if <<Roaring Storm>> is in your Climax slot, during this turn, this card gains the following ability. <<[A] When this card becomes REVERSE, if this card battles the Character with Level equal or less than this card's Level, put that Character to REVERSE.>> 	[A] [(1)] When this card Front Attacks, you may pay this cost. If you do, choose 1 of your opponent's Characters, during this turn, it gets -1 Level.	
Vita & Zafira	All	NAW12-059_WT	CH	Nanoha	R	U	NA/W12-059	1	0	3000	1	0	Magic, Familiar		[C] If you have 3 or more other <Magic> Characters, this card gets +1000 Power.	[A] When this card becomes REVERSE, if the Character battling this card is Level 1 or less, you may put that Character to REVERSE.	
Iron Hammer Knight Vita	All	NSW04-056_WT	CH	Nanoha	R	R	NS/W04-056	2	1	5000	1	1	Magic, Weapon	Let's go, Eisen!	[A] [(1)] When this card attacks and the Climax <<Break Through-!>> is in play, you may pay the cost. Deal one Damage to your opponent. (Damage Cancellation still applies)	[A] When this card becomes REVERSE, if the Character battling this card is Level 2 or less, you may put that Character to REVERSE.	
Present From Hayate	All	NAW12-071_WT	EV	Nanoha	R	U	NA/W12-071	1	1			0			Choose up to 2 Characters with <<Vita>> in its name from your Waiting Room, return to your hand, then discard 1 card from your hand to Waiting Room.		
Break Through-!	All	NSW04-074_WT	CX	Nanoha	R	CC	NS/W04-074					D		Zerst?rungs...hammer---!! Ahhhhhhhhhhh!!	[C] All your Characters get +1000 Power and +1 Soul.		ru
																	
Yagami Family Vita	All	NAW12-062_WT	CH	Nanoha	R	U	NA/W12-062	2	2	8500	2	1	Magic, Doll		[C] RECOLLECTION When you have 3 or more cards in Memory, this card gains the following ability.<<[A] When your other battling Characters become REVERSE, during this turn, this card gets +2000 Power.>>		
Knight Of The Lake Shamal SP	All	NAW12-080SP_WT	CH	Nanoha	B	SP	NA/W12-080	1	0	3000	1	0	Magic		[C] All your other Characters with <<Signum>> in its name gets +500 Power.	[A] When <<The Healing Power>> is placed into your Climax slot, place the top 3 cards of your Deck into Waiting Room. If all of the cards are <Magic> Characters, place the top card of your Clock into Waiting Room.	[S] [Put this card to REST] Choose 1 of your Characters with <<Vita>> in its name, during this turn, it gets +1 Soul.
The Healing Power	All	NAW12-098_WT	CX	Nanoha	B	CR	NA/W12-098					B			[C] All your Characters get +1000 Power, +1 Soul.		
Roaring Storm	All	NAW12-075_WT	CX	Nanoha	R	CC	NA/W12-075					2			[A] All your Characters get +2 Soul.		
Book Of Darkness Knight Vita	All	NAW12-056_WT	CH	Nanoha	R	R	NA/W12-056	2	1	7000	1	1	Magic, Doll		[A] [Place the top card of your Deck into Clock] When this card comes to Stage from hand, you may pay this cost. If you do, during this turn, this card gets +4500 Power.	[[A] ENCORE [Discard 1 Character to Waiting Room from hand] (When this card is put to Waiting Room from Stage, you may pay this cost. If you do, return this card in REST to it's previous slot.)	
Chibikko Vita	All	NAW12-065_WT		Nanoha			NA/W12-065_WT										
Hayate Yagami	All	NSW04-088_WT		Nanoha			NS/W04-088_WT										
																	
Vita, Encounter on the Rooftop	All	N2W32-064_WT		Nanoha			N2/W32-064										
																	
																	
Reinforce II, Spring Winds	All	N2W25-069 		Nanoha			N2/W25-069 										
Signum, Schlangebeissen	All	N2W25-016 		Nanoha			N2/W25-016 										
Fate & Nanoha, Time Wished For	All	N2W32-108 		Nanoha			N2/W32-108 										
																	
Bathtime Vita	All	NRW58-029		Nanoha			NR/W58-029										
Time Space Administration Bureau Vita	All	NRW58-034		Nanoha			NR/W58-034										
Examining the Story Vita	All	NRW58-036		Nanoha			NR/W58-036										
Summer Leisure Vita	All	NRW58-041		Nanoha			NRW58-041										
Protecting the City	All	NRW58-052		Nanoha			NR/W58-052										
"KnightÅfs Armor Improved"" Hayate	All	NRW58-033		Nanoha													
""A New Story"" Hayate	All	NRW58-062		Nanoha													
""Fusion Knight"" Reinforce II	All	NRW58-076		Nanoha													
Time Space Administration Bureau Signum	All	NRW58-006		Nanoha													
Exercise Outfit Rein	All	NRW58-056		Nanoha													
Planet-Killing Demon	All	NRW58-100		Nanoha													
Mysterious Girl Yuri	All	NRW58-092		Nanoha													
""Admires the King"" Levi	All	NRW58-106		Nanoha													
""Respects the King"" Stern	All	NRW58-105		Nanoha													
""For Her Own Purposes"" Dearche	All	NRW58-104		Nanoha													
A King and her Servants	All	NRW58-098		Nanoha													
Right Arm of the King Stern	All	NRW58-089		Nanoha													
Serious and Loyal Stern	All	NRW58-088		Nanoha													
Childish Levi	All	NRW58-087		Nanoha													
Unwavering Trust Levi	All	NRW58-084		Nanoha													
Shudderingly Dark Dearche	All	NRW58-080		Nanoha													
King's Soul Dearche	All	NRW58-079		Nanoha													
Grand Desire Dearche	All	NRW58-077		Nanoha													
Unrepressed Stance Levi	All	NRW58-074		Nanoha													
Fire Magic Stern	All	NRW58-073		Nanoha													
Questioning Resolve Stern	All	NRW58-070		Nanoha													
Darkness Magic Dearche	All	NRW58-065		Nanoha													
Lightning Magic Levi	All	NRW58-057		Nanoha													
-THE GEARS OF DESTINY-	All	NAW12-111		Nanoha													
"																	
																	
Beginning of the End	All	NRW58-095		Nanoha													
Eltrian Girl Kyrie	All	NRW58-094		Nanoha													
Eltrian Girl Iris	All	NRW58-093		Nanoha													
Childhood Kyrie	All	NRW58-081		Nanoha													
Variant Fencer Kyrie	All	NRW58-078		Nanoha													
Anger and Sorrow Kyrie	All	NRW58-071		Nanoha													
Day of Journey Kyrie	All	NRW58-069		Nanoha													
Awakened from the Relic Board Iris	All	NRW58-067		Nanoha													
Opposing Sisters Kyrie	All	NRW58-064		Nanoha													
Each Persons Will Kyrie	All	NRW58-063		Nanoha													
Artificial Intelligence Iris	All	NRW58-061		Nanoha													
For her Homeland Kyrie	All	NRW58-060		Nanoha													
Formula Suit Type-K Kyrie	All	NRW58-058		Nanoha													
Piercing Will Kyrie	All	NRW58-054		Nanoha													
Runaway Savior Amita	All	NRW58-046		Nanoha													
Childhood Amita	All	NRW58-043		Nanoha													
Eltrian Girl Amita	All	NRW58-040		Nanoha													
Saving Her Sister Amita	All	NRW58-039		Nanoha													
Close Sisters Amita and Kyrie	All	NRW58-038		Nanoha													
Passing of Powers Amita	All	NRW58-035		Nanoha													
For the Family Amita	All	NRW58-033A		Nanoha													
Formula Suit Type-A Amita	All	NRW58-031		Nanoha													
Opposing Sisters Amita	All	NRW58-028		Nanoha													
Variant Zapper Amita	All	NRW58-026		Nanoha													
Saved by the Magicians	All	NRW58-050		Nanoha													
Plotting to Save the World	All	NRW58-097		Nanoha													
Cruel Words	All	NRW58-099		Nanoha													
																	
Kekkaiboueisen Shamal	All	NDW67-063		NanoDet													
Shujin e no Ongaeshi Stern	All	NDW67-093		NanoDet													
Wareraga Konshin no Ongaeshi	All	NDW67-095		NanoDet													
Sangeki no Kioku	All	NDW67-099		NanoDet													
Reisei na Handan Stern	All	NDW67-089		NanoDet													
Heion na Nichijou Dearche	All	NDW67-062		NanoDet													
Wasureenu Dekigoto Yuri	All	NDW67-064		NanoDet													
Sunao de Massugu Levi	All	NDW67-067		NanoDet													
Owakare no Aisatsu Stern	All	NDW67-070		NanoDet													
Omoi to Tomoni Dearche	All	NDW67-074		NanoDet													
Heion na Nichijou Stern	All	NDW67-051		NanoDet													
Eltria no Neko Stern	All	NDW67-052		NanoDet													
Eltria no Neko Levi	All	NDW67-048		NanoDet													
Ashita wo Kirihiraku Ichigeki Dearche	All	NDW67-046		NanoDet													
Heion na Nichijou Levi	All	NDW67-053		NanoDet													
Tatakai no Yukue Dearche	All	NDW67-057		NanoDet													
