Name	Set	ImageFile	Type	Series	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Nowaki, 15th Kagero-class Destroyer	All	KCS42-015	CH	KanColleEuro	Y	U	KC/S42-015	1	1	6000	1	0	Fleet Girl, Destroyer		[CONT] For each of your other [Fleet Girl] Characters, this card gets +500 Power.		
Murasame Kai, Between Spurts of Rain	All	KCS42-079	CH	KanColleEuro	B	R	KC/S42-079	1	1	2000	1	1	Fleet Girl, Destroyer		[AUTO] When you use this card's ASSIST, choose 1 of your Character in battle, during this turn, it gets +X Power, X is equals to the number of your [Destroyer] Characters x500.	[START] ASSIST 500 Level 1 [(1) Place this card from Hand into Waiting Room] (Choose 1 of your Characters being Front Attacked, during that turn, it gets +500 Power)	
Harusame Kai, 5th Shiratsuyu-class Destroyer	All	KCS42-093	CH	KanColleEuro	B	C	KC/S42-093	1	1	6000	1	0	Fleet Girl, Destroyer		[CONT] For each Marker under this card, this card gets +1000 Power.	[AUTO]This ability can only be activated up to 1 time each turn. When you played [Drum Can(Transport Use)], you may place the top card of your Deck under this card as a Marker.	[AUTO] When this card's battle opponent becomes REVERSE, you may place the top card of your Deck under this card as a Marker.
Isokaze, Savory Season	All	KCS42-016	CH	KanColleEuro	Y	U	KC/S42-016	2	1	6000	1	1	Fleet Girl, Destroyer		[CONT] SUPPORT All your [Destroyer] Characters in front of this card get +1500 Power.	[AUTO][(1) Place 1 Climax from Hand into Waiting Room] When this card is placed on Stage from Hand, you may pay the Cost. If you did, choose 1 Climax from your Waiting Room, return it to Hand.	
Hatsuzuki, 4th Akizuki-class Destroyer	All	KCS42-024	CH	KanColleEuro	Y	C	KC/S42-024	2	1	8000	1	1	Fleet Girl, Destroyer		[AUTO] When this card attacks, if [Onee-san, Leave This to Me] is in the Climax slot, choose 1 of your other Characters, return it to Hand, during this turn, this card gets +3500 Power, at the beginning of your Encore Step, place this card into Stock.		
Yuudachi Kai-Ni, A Moment in Mid-Summer	All	KCS42-096	CH	KanColleEuro	B	C	KC/S42-096	2	2	6500	2	1	Fleet Girl, Destroyer		[CONT]For each of your other [Destroyer] Characters, this card gets +1000 Power.	[AUTO]ENCORE [Place 1 Blue card from Hand into Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this Cost. If you do, place this card in its previous slot in REST)	
Fubuki Kai-Ni, 1st Fubuki-class Destroyer	All	KCS42-060	CH	KanColleEuro	R	RR	KC/S42-060	3	2	10000	2	1	Fleet Girl, Destroyer		[AUTO] When this card is placed on Stage from Hand, draw up to 1 Card, during this turn, this card gets +2000 Power.	[AUTO][(3) Place 2 cards from Hand into Waiting Room] When this card attacks, you may pay the Cost. If you did, deal X Damage to your opponent. X is equals to the number of your other [Destroyer] Characters. (Damage can be cancelled)	
																	
Drum Can(Transport Use)	All	KCS31-E095	EV	KanColle2nd	B	U	KC/S31-E095	1	0			0			Look up to the top 4 cards of your Deck, choose up to 1 [Fleet Girl] Character and show it to your opponent, add it to Hand, place the remaining cards into Waiting Room.		
																	
Pu-pukupuu!	All	KCS31-E076	CX	KanColle2nd	R	CC	KC/S31-E076					2			[AUTO] When this card is placed into Climax slot from Hand, draw 1 card, choose 1 of your Characters, during that turn, it gets +2000 Power, +1 Soul.		
Main Gun, Prepare for Anti-Air Combat!	All	KCS42-028	CX	KanColleEuro	Y	CC	KC/S42-028					1F			[CONT] All your Characters get +1000 Power, +1 Soul.	(Flame): When this card is Triggered, if your current attacking Character's damage is cancelled, deal 1 damage to your opponent)	
Onee-san, Leave This to Me	All	KCS42-029	CX	KanColleEuro	Y	CC	KC/S42-029					2			[AUTO] When this card is placed into Climax slot from Hand, choose up to 1 Yellow card from your Waiting Room, place it to Stock, during this turn, all your Characters get +1 Soul.		
																	
																	
Naganami, 4th Yuugumo-class Destroyer	All	KCS25-012		KanColle			KC/S25-012										
Inazuma, Blunderer	All	KCS25-061		KanColle			KC/S25-061										
Harusame, 5th Shiratsuyu-class Destroyer	All	KCS31-089		KanColle2nd			KC/S31-089										
Kazagumo, 3rd Yuugumo-class Destroyer	All	KCS42-009		KanColleEuro			KC/S42-009										
Okinami, 14th Yuugumo-class Destroyer	All	KCS42-012		KanColleEuro			KC/S42-012										
Mutsuki Kai-Ni, 1st Mutsuki-class Destroyer	All	KCS42-068		KanColleEuro			KC/S42-068										
Kisaragi Kai-Ni, 2nd Mutsuki-class Destroyer	All	KCS42-069		KanColleEuro			KC/S42-069										
Yamagumo, 6th Asashio-class Destroyer	All	KCS42-080		KanColleEuro			KC/S42-080										
																	
Shimakaze, Shimakaze-class Destroyer	All	KCS25-003		KanColle			KC/S25-003										
Asagumo Kai, 5th Asashio-class Destroyer	All	KCS42-091		KanColleEuro			KC/S42-091										
Yamagumo Kai, 6th Asashio-class Destroyer	All	KCS42-092		KanColleEuro			KC/S42-092										
																	
Junyou, 2nd Hiyou-class Light Aircraft Carrier	All	KCS25-028		KanColle			KC/S25-028										
Jintsuu Kai-Ni, 2nd Sendai-class Light Cruiser	All	KCS31-038		KanColle2nd			KC/S31-038										
Akatsuki Kai-Ni, 1st Akatsuki-class Destroyer	All	KCS42-041		KanColleEuro			KC/S42-041										
																	
Jintsuu, Going!	All	KCS31-059		KanColle2nd			KC/S31-059										
																	
Maikaze, 18th Kagero-class Destroyer	All	KCS25-007		KanColle			KC/S25-007										
Tokitsukaze, 10th Kagero-class Destroyer	All	KCS31-003		KanColle2nd			KC/S31-003										
Arashi, 16th Kagero-class Destroyer	All	KCS42-010		KanColleEuro			KC/S42-010										
Hagikaze, 17th Kagero-class Destroyer	All	KCS42-011		KanColleEuro			KC/S42-011										
																	
Ayanami Kai Ni, 1st Ayanami-class Destroyer	All	KCS31-035		KanColle2nd			KC/S31-035										
Murakumo Kai-Ni, 5th Fubuki-class Destroyer	All	KCS42-070		KanColleEuro			KC/S42-070										
																	
																	
Illumination Rounds	All	KCS31-054		KanColle2nd			KC/S31-054										
																	
It's Akatsuki's Turn, Watch Closely!	All	KCS25-079		KanColle			KC/S25-079										
Ayanami Will Protect You!	All	KCS31-058		KanColle2nd			KC/S31-058										
																	
																	
																	
Kazuma	All	KSW49-003		KonoSuba			KS/W49-003										
"""Specialty: Delusion"" Darkness"	All	KSW49-007		KonoSuba			KS/W49-007										
"""Problematic Act"" Megumin"	All	KSW49-040 		KonoSuba			KS/W49-040 										
"""Troublemaker"" Aqua"	All	KSW49-071		KonoSuba			KS/W49-071										
"""Meaning for Killing Snow Sprites?"" Aqua"	All	KSW49-075		KonoSuba			KS/W49-075										
"""Here's Where the Adventure Starts...?"" Aqua"	All	KSW49-087		KonoSuba			KS/W49-087										
																	
"""Shaken"" Megumin"	All	KSW49-047		KonoSuba			KS/W49-047										
"Kind Smile"" Eris"	All	KSW49-076		KonoSuba			KS/W49-076										
"""Sacred Turn Undead"" Aqua"	All	KSW49-078		KonoSuba			KS/W49-078										
																	
"""Simultaneous Fire!!"" Wiz"	All	KSW49-044		KonoSuba			KS/W49-044										
"""Calling for Sensei"" Megumin"	All	KSW49-051		KonoSuba			KS/W49-051										
"""Pride of the Goddess"" Aqua"	All	KSW49-T17		KonoSuba			KS/W49-T17										
																	
Megumin	All	KSW49-035		KonoSuba			KS/W49-035										
"""May You Be Blessed with Kind Encounters"" Eris"	All	KSW49-072		KonoSuba			KS/W49-072										
																	
Real Explosion Magic	All	KSW49-067		KonoSuba			KS/W49-067										
Revive	All	KSW49-099		KonoSuba			KS/W49-099										
																	
"Board Game"" Megumin	All	KSW49-037		KonoSuba			KS/W49-037										
""Guide to Obtaining Skills"" Megumin	All	KSW49-038 		KonoSuba			KS/W49-038 										
""Sacred Create Water"" Aqua	All	KSW49-077 		KonoSuba			KS/W49-077 										
""Striking a Pose with Arms Open"" Darkness	All	KSW49-013 		KonoSuba			KS/W49-013 										
Darkness	All	KSW49-001 		KonoSuba			KS/W49-001										
																	
""""Explosion Magic Powered Up"" Megumin"	All	KSW55-053 		KonoSuba			KS/W55-053 										
"""Running Off"" Aqua"	All	KSW55-079 		KonoSuba			KS/W55-079 										
Eris in Swimsuit	All	KSW55-081 		KonoSuba			KS/W55-081 										
"""Salvation of the Soul"" Aqua"	All	KSW55-082 		KonoSuba			KS/W55-082 										
"""Power of Magic Is Part of Luck"" Aqua"	All	KSW55-084 		KonoSuba			KS/W55-084 										
In the Name of the Goddess	All	KSW55-098 		KonoSuba			KS/W55-098 										
The Happiest Divine Book Reinforce	All	N2W32-088		Nanoha			N2/W32-088	2	1	8000	1						
Swimsuit Fate	All	N1W32-102	C	Nanoha	Y	C	N1/32-102C	0	0	2000	1						
Until Another Day Nanoha	All	N1W32-P01		Nanoha	R	PR	N1/W32-P01								When your other ????????????? attacks, if this card is in the Front Row, choose 1 of your opponent's Character with Level 0 or below in the Front Row, you may place it into Waiting Room.		
Until Another Day Fate	All	N1W32-P02		Nanoha	Y	PR	N1/W32-P02								When this card is placed on Stage from Hand, during that turn, this Character gets +1500 Power.		
Familiar Arf	All	NSW04-T01		Nanoha			NS/W04-T01										
Declaration of Victory	All	N2W25-005		Nanoha	Y	R	N2/W25-005										
New Power Fate	All	N2W25-019		Nanoha	Y	C	N2/W25-019										
Sonic Drive Fate	All	N2W25-006		Nanoha	Y	R	N2/W25-006										
Grateful Feeling Alf	All	N2W25-013		Nanoha	Y	U	N2/W25-013										
Plasma Zanber Breaker Fate	All	N2W32-106		Nanoha	Y	RR	N2/32-106										
Lightning Returns Fate	All	N2W32-028		Nanoha	Y	RR	N2/W32-028										
Farewell To The Ideal	All	NAW12-024		Nanoha	Y	CC	N2/W12024										
Lightning Fate	All	NAW12-002		Nanoha	Y	RR	N2/W12-002										
Fate With Bardiche Assault	All	NAW12-007		Nanoha	Y	R	NA/212-007										
Raikou Issen	All	NAW12-023		Nanoha	Y	SR	NA/W12-023										
Kind Mother Precia	All	NAW12-018		Nanoha	Y	C	NA/W12-018										
																	
																	
																	
Nanoha, Sudden Attack	All	N2W25-039		Nanoha			N2/W25-039										
																	
Nanoha, Reunited After A Long Time	All	N2W32-070		Nanoha			N2/W32-070										
																	
"""Big Brother"" Chrono"	All	NAW12-040		Nanoha			NA/W12-040										
																	
Nanoha, Accel Mode	All	N2W25-036		Nanoha			N2/W25-036										
Nanoha, New Power	All	N2W32-055		Nanoha			N2/W32-055										
Nanoha, As a Senior	All	N2W32-111		Nanoha			N2/W32-111										
																	
Nanoha, Strongest Rival	All	N1W32-103		Nanoha			N1/W32-103										
Lindy, Unrivaled Sweet Tooth		NAW12-043		Nanoha			NA/W12-043										
																	
Signum, Something to Protect	All	N2W32-035		Nanoha			N2/W32-035										
"""Starlight Breaker"" Nanoha"	All	N2W32-110		Nanoha			N2/W32-110										
																	
Starlight Breaker	All	N1W32-027		Nanoha			N1/W32-027										
Offense And Defense of the Fierce Battle	All	N1W32-105		Nanoha			N1/W32-105										
																	
Fate, For Her Friends	All	N2W32-030		Nanoha			N2/W32-030										
Reinforce, Nap Time	All	N2W32-085		Nanoha			N2/W32-085										
																	
																	
Reinforce, Overspilling Passion	All	N2W32-081		Nanoha			N2/W32-081										
Hayate, Happy Days	All	N2W32-114		Nanoha			N2/W32-114										
																	
Hayate, Unison in!	All	N2W32-077		Nanoha			N2/W32-077										
Reinforce, Moment of Farewell	All	N2W32-082		Nanoha			N2/W32-082										
																	
Hayate & Reinforce as One	All	N2W32-078		Nanoha			N2/W32-078										
"""Ragnarok Breaker"" Hayate"	All	N2W32-113		Nanoha			N2/W32-113										
Hayate, Master	All	NAW12-077		Nanoha			NA/W12-077										
																	
Petrifying Lance, Mistilteinn	All	N2W32-099		Nanoha			N2/W32-099										
Time for Just Us Two	All	N2W32-117R		Nanoha			N2/W32-117R										
																	
																	
																	
Saber, Knight's Personality	All	FSS34-001		Fate			FS/S34-001										
"""Heroic Spirit"" Saber"	All	FSS34-005		Fate			FS/S34-005										
Saber, Dignified Air	All	FSS34-019		Fate			FS/S34-019										
Holy Grail War Entry, Saber	All	FSS34-TE16		Fate			FS/S34-TE16										
"""Pact Complete"" Saber"	All	FSS36-005		Fate			FS/S36-005										
																	
Saber, Prepared to Fight Together	All	FSS34-006		Fate			FS/S34-006										
Saber, Heading to Rescue	All	FSS34-014		Fate			FS/S34-014										
Shirou, Friendly to Others	All	FSS34-017		Fate			FS/S34-017										
																	
Saber, Fight with Souichirou	All	FSS34-008		Fate			FS/S34-008										
"""Neat Appearance"" Saber"	All	FS036-023		Fate			FS/S36-023										
																	
Saber, Knight's Oath	All	FSS34-003		Fate			FS/S34-003										
King of Ideals, Saber	All	FZS17-E002		Fate			FZ/S17-E002										
																	
Demolition	All	FZS17-E026		Fate			FZ/S17-E026										
																	
Release of Armament	All	FSS34-032		Fate			FS/S34-032										
Anger Towards Evil	All	FSS34-034		Fate			FS/S34-034										
After the Fierce Battle Nanoha	All	NRW58-044		NanohaRef													
Flower Viewing Teatime Nanoha	All	NRW58-037		NanohaRef													
"Kind and Serious"" Fate	All	NRW58-101		Nanoha													
""For the People"" Hayate	All	NRW58-103		Nanoha													
""Strike Cannon"" Nanoha	All	NRW58-032		Nanoha													
Saint King Vivio	All	NSW04-061		Nanoha													
Reliable Pair Alf and Zafira	All	NRW58-012		Nanoha													
Twin Breakers	All	NRW58-051		Nanoha													
The Power to Achieve Hope	All	NRW58-049		Nanoha													
Hornet Javelin	All	NRW58-016		Nanoha													
Love Between Mother and Daughter	All	NRW58-018		Nanoha													
As a Mother Lindy	All	NRW58-019		Nanoha													
A New Power Nanoha	All	NRW58-023		Nanoha													
""Fortress Mode"" Nanoha	All	NRW58-024		Nanoha													
""Formula Mode"" Nanoha	All	NRW58-025		Nanoha													
A New Story Nanoha	All	NRW58-027		Nanoha													
""As Much as She Could"" Nanoha	All	NRW58-102		Nanoha													
Moonlit Flight Nanoha	All	NRW58-030		Nanoha													
""In the Middle of BattleÅh Fate	All	NRW58-009		Nanoha													
A New Story Fate	All	NRW58-005		Nanoha													
""Hornet Javelin"" Fate	All	NRW58-002		Nanoha													
""Blaze Form II"" Fate	All	NRW58-001		Nanoha													
Each OtherÅfs Will Fate	All	NRW58-008		Nanoha													
Determined Eyes Fate	All	NRW58-003		Nanoha
"																	
																	
Gurren Lagann Double Boomerang Spiral	All	GL552-061		Gurren													
Battle with the Moon	All	GL552-087		Gurren													
My drill! Is the drill that creates the heavens!!!!	All	GL552-088		Gurren													
My Feelings Nia	All	GL552-042		Gurren													
Power of the Drill Lagann	All	GL552-065		Gurren													
Official Member of Team Dai-Gurren Boota	All	GL552-064		Gurren													
Strong Will Simon	All	GL552-066		Gurren													
Nia	All	GL552-033		Gurren													
Tengen Toppa Gurren Lagann	All	GL552-063		Gurren													
To Save the Woman he Loves Simon	All	GL552-060		Gurren													
Gurren Lagann	All	GL552-068		Gurren													
Commanding General Simon	All	GL552-071		Gurren													
Super Galaxy Gurren Lagann	All	GL552-070		Gurren													
Super Galaxy Dai-Gurren	All	GL552-069		Gurren													
Core Drill	All	GL552-084		Gurren													
Lagann Impact! Lagann	All	GL552-078		Gurren													
Piercing Emotions Simon and Nia	All	GL552-074		Gurren													
Arc-Gurren Lagann	All	GL552-076		Gurren													
Evolved by the Power of the Spiral Boota	All	GL552-073		Gurren													
																	
Underway Replenishment	All	KCS42-072		KanColleEuro													
Fumidzuki, 7th Mutsuki-class Destroyer	All	KCS25-102		KanColle													
Akatsuki, 1st Akatsuki-class Destroyer	All	KCS25-046		KanColle													
Irako, Food Supply Ship 	All	KCS31-096		KanColle2nd													
Amatsukaze Kai, 9th Youen-class Destroyer	All	KCS31-005		KanColle2nd													
Z3, 3rd Z1-class Destroyer	All	KCS42-037		KanColleEuro													
Z1, 1st Z1-class Destroyer	All	KCS42-043		KanColleEuro													
As Fast as Island Winds	All	KCS25-034		KanColle													
Shimakaze Kai, Shimakaze-class Destroyer	All	KCS25-015		KanColle													
																	
Kaerubeki Basho Fate	All	NDW67-001		NanoDet													
Kekkai Boueisen Fate	All	NDW67-002		NanoDet													
Bunny Girl Fate	All	NDW67-003		NanoDet													
Tatakai no Yukue Fate	All	NDW67-005		NanoDet													
Kuusen Madoushi Fate	All	NDW67-008		NanoDet													
Tayoreru Suketto Fate	All	NDW67-010		NanoDet													
Tanomoshii Mikata Fate	All	NDW67-015		NanoDet													
Mamorubeki Taisetsu na Mono Nanoha	All	NDW67-021		NanoDet													
Keikoku no Yobikake Nanoha	All	NDW67-025		NanoDet													
																	
Kageroukata Kuchikukan 1bankan Kagerou Kai Ni	All	KCS67-001		KanColle5th													
Akidzukikata Kuchikukan 3bankan Suzutsuki	All	KCS67-015		KanColle5th													
Tashugento-kyuu Kuchikukan 1bankan Tashugento	All	KCS67-028		KanColle5th													
Ayanamikata Kuchikukan 5bankan Amagiri	All	KCS67-037		KanColle5th													
Kamikazekata Kuchikukan 1bankan Kamikaze	All	KCS67-058		KanColle5th													
Mutsukikata Kuchikukan 7bankan Fumudzuki Kai Ni	All	KCS67-060		KanColle5th													
Saa, Gassenyoui Yo!	All	KCS67-071		KanColle5th													
J-kyuu Kuchikukan 1bankan Jervis	All	KCS67-086		KanColle5th													
Shiratsuyukata Kuchikukan 3bankan Murasame Kai Ni 	All	KCS67-097		KanColle5th													
Asashiokata Kuchikukan 4bankan Arashio Kai Ni	All	KCS67-094		KanColle5th													
Shiratsuyukata Kuchikukan 8bankan Yamakaze	All	KCS67-093		KanColle5th													
Shiratsuyukata Kuchikukan 1bankan Shiratsuyu Kai Ni	All	KCS67-091		KanColle5th													
Kono Kaiikikara Deteike!	All	KCS67-105		KanColle5th													
Asashiokata Kuchikukan 1bankan Asashio Kai Nichou	All	KCS67-084		KanColle5th													
Asashiokata Kuchikukan 1bankan Asashio Kai Ni	All	KCS67-085		KanColle5th													
Kageroukata Kuchikukan 3bankan Kuroshio Kai Ni	All	KCS67-019		KanColle5th													
Ayanamikata Kuchikukan 6bankan Sagiri	All	KCS67-031		KanColle5th													
